C	N	P	S	V	Ni	Nb	Al	Ti	Fe	Hf	Mo	Mn	Co	Si	Cr	Cu	SFE
0.03	0.168	0	0	0	6.6	0	0	0	73.904	0	0	1.23	0	0.5	17.4	0.168	23.7
0.019	0.094	0	0	0	6.6	0	0	0	73.377	0	0	1.61	0	0.48	17.6	0.22	23.2
0.017	0.145	0	0	0	6.6	0	0	0	73.848	0	0	1.34	0	0.51	17.4	0.14	22.6
0.08	0	0	0	0	0	0	1.6	0	70.03	0	0	28	0	0.28	0.01	0	27
0.047	0.107	0	0	0	4.7	0	0.001	0	69.465	0	0	5.7	0	0.29	17.3	2.39	24.9
0.079	0.115	0	0	0	1.1	0	0.002	0	72.424	0	0	9	0	0.4	15.2	1.68	16.8
0.4	0.066	0	0.004	0	16.3	0	0	0	54.66	0	0	9.64	0	0.45	18.48	0	39
0.4	0.066	0	0.004	0	16.3	0	0	0	54.66	0	0	9.64	0	0.45	18.48	0	37
0.4	0.066	0	0.004	0	16.3	0	0	0	54.66	0	0	9.64	0	0.45	18.48	0	35
0.4	0.066	0	0.004	0	16.3	0	0	0	54.66	0	0	9.64	0	0.45	18.48	0	32
0.4	0.066	0	0.004	0	16.3	0	0	0	54.66	0	0	9.64	0	0.45	18.48	0	30
0.041	0.054	0	0	0	8.1	0	0	0	70.875	0	0.32	1.71	0	0.33	18.2	0.37	17.8
0.019	0.094	0	0	0	6.6	0	0	0	73.237	0	0.14	1.61	0	0.48	17.6	0.22	12.8
0.017	0.145	0	0	0	6.6	0	0	0	73.698	0	0.15	1.34	0	0.51	17.4	0.14	14.7
0	0	0	0	0	0	0	0	0	85	0	0	15	0	0	0	0	26
0	0	0	0	0	0	0	0	0	83	0	0	17	0	0	0	0	23
0	0	0	0	0	0	0	0	0	80	0	0	20	0	0	0	0	18
0	0	0	0	0	0	0	0	0	78	0	0	22	0	0	0	0	15
0	0	0	0	0	0	0	0	0	75	0	0	25	0	0	0	0	27
0	0	0	0	0	0	0	0	0	70	0	0	30	0	0	0	0	42
0.03	0.39	0	0	0	0	0	0	0	72.2	0	0	9.73	0	0.24	17.83	0	10.4
0.03	0.44	0	0	0	0	0	0	0	72	0	0	9.7	0	0.24	18.06	0	12.2
0.03	0.51	0	0	0	0	0	0	0	72.51	0	0	9.58	0	0.26	17.65	0	17.1
0.03	0.69	0	0	0	0	0	0	0	72.47	0	0	9.82	0	0.17	17.54	0	22.8
0.15	0.42	0	0	0	0	0	0	0	71.54	0	0	10.19	0	0.25	18.02	0	20.1
0.38	0.38	0	0	0	0	0	0	0	72	0	0	9.66	0	0.22	18.12	0	27.6
0.04	0.06	0.033	0.02	0	8.75	0	0	0	70.467	0	0	1.52	0	1.07	18.04	0	11
0.05	0.023	0.033	0.02	0	8.6	0	0	0	71.634	0	0	1.56	0	0.44	17.64	0	31
0.07	0.032	0.035	0.043	0	16.23	0	0	0	63.27	0	0	1.59	0	0.1	18.63	0	46
0.13	0	0	0	0	11.16	0	0	0	69.28	0	0	0.47	0	1.06	17.9	0	17.25
0.023	0	0	0	0	8.59	0	0	0	66.667	0	0	0.15	6.42	0.19	17.96	0	11.5
0.115	0	0	0	0	10.04	0	0	0	66.525	0	0	0.22	0	0.1	17.8	5.2	63.25
0	0	0	0	0	11.2	0	0	0	69.5	0	0	0	0	0	19.3	0	13
0	0	0	0	0	11	0	0	0	71.7	0	0	0	0	0	17.3	0	18
0	0	0	0	0	12.1	0	0	0	71.9	0	0	0	0	0	16	0	22
0	0	0	0	0	14.2	0	0	0	72.8	0	0	0	0	0	13	0	33
0	0	0	0	0	16.2	0	0	0	73.4	0	0	0	0	0	10.4	0	43
0.23	0	0	0.006	0	0	0	0	0	76.86	0	0	19.84	0	0.024	0	3.04	22.4
0.83	0	0	0.01	0	0	0	0	0	76.216	0	0	19.87	0	0.044	0	3.03	26.51
1.41	0	0	0.013	0	0	0	0	0	75.603	0	0	19.87	0	0.064	0	3.04	29.64
0.03	0	0	0	0	0	0	0	0	77.97	0	0	22	0	0	0	0	28.55
0.13	0	0	0	0	0	0	0	0	77.87	0	0	22	0	0	0	0	23.1
0.33	0	0	0	0	0	0	0	0	77.67	0	0	22	0	0	0	0	26.1
0.69	0	0	0	0	0	0	0	0	77.31	0	0	22	0	0	0	0	28.1
0	0	0	0	0	10.6	0	0	0	70.4	0	0	1.2	0	0	17.8	0	25.1
0.06	0	0	0	0	10.5	0	0	0	70.64	0	0	0.9	0	0	17.9	0	29.6
0.09	0	0	0	0	10.1	0	0	0	71.11	0	0	0.6	0	0	18.1	0	33.1
0.11	0	0	0	0	10.6	0	0	0	70.69	0	0	0.5	0	0	18.1	0	38.5
0	0.01	0	0	0	16.1	0	0	0	55.79	0	0	9.6	0	0	18.5	0	44.4
0	0.07	0	0	0	16.1	0	0	0	55.73	0	0	9.6	0	0	18.5	0	46.8
0	0.21	0	0	0	16.1	0	0	0	55.59	0	0	9.6	0	0	18.5	0	54.9
0	0.31	0	0	0	16.1	0	0	0	55.49	0	0	9.6	0	0	18.5	0	62.1
0	0.4	0	0	0	16.1	0	0	0	55.4	0	0	9.6	0	0	18.5	0	65.1
0	0.54	0	0	0	16.1	0	0	0	55.26	0	0	9.6	0	0	18.5	0	53.2
0	0.06	0	0	0	0	0	0	0	67.94	0	0	17	0	0	15	0	24.4
0	0.23	0	0	0	0	0	0	0	67.77	0	0	17	0	0	15	0	25.2
0	0.48	0	0	0	0	0	0	0	67.52	0	0	17	0	0	15	0	22.1
